areaCode,areaName,areaType,date,covidOccupiedMVBeds,cumCasesBySpecimenDate,cumDeaths28DaysByDeathDate,hospitalCases
E92000001,England,nation,2023-08-08,,20868384,,
E92000001,England,nation,2023-08-07,,20867771,,
E92000001,England,nation,2023-08-06,,20866863,,
E92000001,England,nation,2023-08-05,,20866077,,
E92000001,England,nation,2023-08-04,,20865416,,1844
E92000001,England,nation,2023-08-03,,20864716,,1785
E92000001,England,nation,2023-08-02,,20863994,,1743
E92000001,England,nation,2023-08-01,,20863219,,1677
E92000001,England,nation,2023-07-31,,20862403,,1607
E92000001,England,nation,2023-07-30,,20861570,,1526
E92000001,England,nation,2023-07-29,,20860827,,1445
E92000001,England,nation,2023-07-28,,20860203,,1440
E92000001,England,nation,2023-07-27,,20859582,,1382
E92000001,England,nation,2023-07-26,,20858968,,1371
E92000001,England,nation,2023-07-25,,20858350,,1287
E92000001,England,nation,2023-07-24,,20857708,,1191
E92000001,England,nation,2023-07-23,,20857080,,1079
E92000001,England,nation,2023-07-22,,20856587,,1107
E92000001,England,nation,2023-07-21,,20856176,,1125
E92000001,England,nation,2023-07-20,,20855732,,1060
E92000001,England,nation,2023-07-19,,20855236,,1081
E92000001,England,nation,2023-07-18,,20854770,,1097
E92000001,England,nation,2023-07-17,,20854253,,1130
E92000001,England,nation,2023-07-16,,20853763,,1101
E92000001,England,nation,2023-07-15,,20853380,,1073
E92000001,England,nation,2023-07-14,,20853042,,1066
E92000001,England,nation,2023-07-13,,20852702,,1078
E92000001,England,nation,2023-07-12,,20852285,,1083
E92000001,England,nation,2023-07-11,,20851867,,1049
E92000001,England,nation,2023-07-10,,20851418,,1055
E92000001,England,nation,2023-07-09,,20850961,,1055
E92000001,England,nation,2023-07-08,,20850569,,1049
E92000001,England,nation,2023-07-07,,20850261,,1037
E92000001,England,nation,2023-07-06,,20849912,,1045
E92000001,England,nation,2023-07-05,,20849598,,1067
E92000001,England,nation,2023-07-04,,20849253,,1107
E92000001,England,nation,2023-07-03,,20848944,193016,1118
E92000001,England,nation,2023-07-02,,20848599,193014,1137
E92000001,England,nation,2023-07-01,,20848335,193001,1138
E92000001,England,nation,2023-06-30,,20848126,192993,1163
E92000001,England,nation,2023-06-29,,20847890,192984,1221
E92000001,England,nation,2023-06-28,,20847638,192970,1314
E92000001,England,nation,2023-06-27,,20847341,192963,1321
E92000001,England,nation,2023-06-26,,20847046,192948,1372
E92000001,England,nation,2023-06-25,,20846741,192932,1375
