areaCode,areaName,areaType,date,cumPeopleVaccinatedCompleteByPublishDate,cumPeopleVaccinatedCompleteByVaccinationDate,cumPeopleVaccinatedFirstDoseByPublishDate,cumPeopleVaccinatedFirstDoseByVaccinationDate
E92000001,England,nation,2022-02-18,,40729294,44190350,43540575
E92000001,England,nation,2022-02-17,,40719001,44185190,43536734
E92000001,England,nation,2022-02-16,,40701984,44177080,43530316
E92000001,England,nation,2022-02-15,,40684447,44167184,43523828
E92000001,England,nation,2022-02-14,,40667596,44159057,43517117
E92000001,England,nation,2022-02-13,,40653265,44151962,43511576
E92000001,England,nation,2022-02-12,,40642964,44146115,43507710
E92000001,England,nation,2022-02-11,,40620066,44132468,43498698
E92000001,England,nation,2022-02-10,,40597405,44122610,43490643
E92000001,England,nation,2022-02-09,,40574797,44112621,43482823
E92000001,England,nation,2022-02-08,,40553051,44102414,43474620
E92000001,England,nation,2022-02-07,,40531711,44092683,43466906
E92000001,England,nation,2022-02-06,,40511801,44083763,43459729
E92000001,England,nation,2022-02-05,,40499076,44077733,43455191
E92000001,England,nation,2022-02-04,,40474554,44065787,43446131
E92000001,England,nation,2022-02-03,,40452168,44052204,43437876
E92000001,England,nation,2022-02-02,,40428414,44040424,43428465
E92000001,England,nation,2022-02-01,,40405385,44029340,43419166
E92000001,England,nation,2022-01-31,,40382503,44018188,43410049
E92000001,England,nation,2022-01-30,,40362544,44007906,43400854
E92000001,England,nation,2022-01-29,,40340652,43997848,43392330
E92000001,England,nation,2022-01-28,,40306877,43981371,43378109
E92000001,England,nation,2022-01-27,,40277734,43966186,43364859
E92000001,England,nation,2022-01-26,,40252173,43952197,43352131
E92000001,England,nation,2022-01-25,,40225900,43938408,43340280
E92000001,England,nation,2022-01-24,,40202524,43926052,43329430
E92000001,England,nation,2022-01-23,,40179424,43911121,43319234
E92000001,England,nation,2022-01-22,,40155983,43900607,43310455
E92000001,England,nation,2022-01-21,,40117722,43882299,43294236
E92000001,England,nation,2022-01-20,,40089452,43866274,43280394
E92000001,England,nation,2022-01-19,,40062830,43850989,43266642
E92000001,England,nation,2022-01-18,,40037971,43835581,43253057
E92000001,England,nation,2022-01-17,,40014136,43819571,43238975
E92000001,England,nation,2022-01-16,,39992805,43805752,43226477
E92000001,England,nation,2022-01-15,,39969655,43790407,43213415
