id,pop
Anhui,62550000
Tianjin,15570000
Shanghai,24180000
Inner Mongolia,25290000
Gansu,26260000
Hebei,75200000
Hainan,9170000
Tibet,3370000
Yunnan,48010000
Hubei,59020000
Zhejiang,56570000
Heilongjiang,37890000
Jiangxi,46220000
Hong Kong,7335384
Chongqing,30750000
Xinjiang,24450000
Shaanxi,38350000
Jiangsu,80290000
Henan,95590000
Guizhou,35550000
Fujian,39110000
Hunan,68600000
Beijing,21710000
Shandong,100060000
Macau,644900
Guangxi,48850000
Qinghai,5980000
Ningxia,6820000
Sichuan,83020000
Liaoning,43690000
Guangdong,111690000
Jilin,27170000
Shanxi,36820000
