id,pop,,,,,,Source:,https://en.wikipedia.org/wiki/Germany#Constituent_states
Baden-Württemberg,11069533,,,,,,,
Bayern,13076721,,,,,,,
Berlin,3644826,,,,,,,
Brandenburg,2511917,,,,,,,
Bremen,682986,,,,,,,
Germany,83019213,,,,,,,
Hamburg,1841179,,,,,,,
Hessen,6265809,,,,,,,
Niedersachsen,7982448,,,,,,,
Mecklenburg-Vorpommern,1609675,,,,,,,
Nordrhein-Westfalen,17932651,,,,,,,
Rheinland-Pfalz,4084844,,,,,,,
Saarland,990509,,,,,,,
Sachsen,4077937,,,,,,,
Sachsen-Anhalt,2208321,,,,,,,
Schleswig-Holstein,2896712,,,,,,,
Thüringen,2143145,,,,,,,
