id,pop,,source:,,https://en.wikipedia.org/wiki/Autonomous_communities_of_Spain
Andalucía,8414240,,,,
Cataluña,7675217,,,,
Madrid,6663394,,,,
Valenciana,5003769,,,,
Galicia,2699499,,,,
Castilla y León,2399548,,,,
País Vasco,2207776,,,,
Castilla La Mancha,2032863,,,,
Canarias,2153389,,,,
Murcia,1493898,,,,
Aragón,1319291,,,,
Extremadura,1067710,,,,
Baleares,1149460,,,,
Asturias,1022800,,,,
Navarra,654214,,,,
Cantabria,581078,,,,
La Rioja,316798,,,,
Ceuta,84777,,,,
Melilla,86487,,,,
